Length_Bytes,Alignment_Bytes,Alpha_Percent,Time_Serial_ns,Time_SIMD_ns
2426,32,0,2375,1397
2426,32,10,5308,978
2426,32,20,5797,1467
2426,32,30,6635,1467
2426,32,40,10407,1816
2426,32,50,8939,1467
2426,32,60,9988,1397
2426,32,70,6635,1467
2426,32,80,5308,1397
2426,32,90,3841,978
2426,32,100,2793,978
2426,1,0,2793,978
2426,1,10,4750,1397
2426,1,20,5797,1466
2426,1,30,7054,978
2426,1,40,8660,1467
2426,1,50,8940,1467
2426,1,60,8102,1467
2426,1,70,7124,1397
2426,1,80,5657,1396
2426,1,90,3772,1397
2426,1,100,2375,1397
3129,32,0,3352,1396
3129,32,10,4819,1397
3129,32,20,6355,1467
3129,32,30,9010,1466
3129,32,40,9987,1397
3129,32,50,11035,1467
3129,32,60,9917,1397
3129,32,70,9009,1467
3129,32,80,6705,978
3129,32,90,5657,1396
3129,32,100,2794,1397
3129,1,0,2864,908
3129,1,10,5308,1397
3129,1,20,6635,1397
3129,1,30,8520,1466
3129,1,40,9918,1467
3129,1,50,10965,1397
3129,1,60,10477,1467
3129,1,70,10336,1397
3129,1,80,7264,1397
3129,1,90,5168,978
3129,1,100,2863,978
4036,32,0,3352,1397
4036,32,10,6076,1397
4036,32,20,8171,1397
4036,32,30,10616,1397
4036,32,40,12711,978
4036,32,50,13479,1397
4036,32,60,12851,978
4036,32,70,10895,977
4036,32,80,8032,908
4036,32,90,5727,1396
4036,32,100,3352,1467
4036,1,0,2444,908
4036,1,10,5727,1466
4036,1,20,8171,1466
4036,1,30,12781,1467
4036,1,40,12920,908
4036,1,50,18997,978
4036,1,60,11803,977
4036,1,70,10477,908
4036,1,80,9917,1467
4036,1,90,6146,1466
4036,1,100,3283,1397
5206,32,0,3771,1467
5206,32,10,7753,1397
5206,32,20,10057,1467
5206,32,30,13270,1466
5206,32,40,16622,1467
5206,32,50,17600,1467
5206,32,60,16343,1816
5206,32,70,12502,1397
5206,32,80,9568,1466
5206,32,90,8521,1467
5206,32,100,3772,1397
5206,1,0,4889,1397
5206,1,10,7124,1397
5206,1,20,10057,1397
5206,1,30,16134,1467
5206,1,40,15715,1467
5206,1,50,17670,1396
5206,1,60,16134,978
5206,1,70,13200,1466
5206,1,80,13899,1886
5206,1,90,7193,1467
5206,1,100,3841,1467
6716,32,0,4679,1397
6716,32,10,8521,1396
6716,32,20,20394,1466
6716,32,30,17600,1397
6716,32,40,20044,1467
6716,32,50,21371,1466
6716,32,60,20603,1466
6716,32,70,19905,1467
6716,32,80,11384,1886
6716,32,90,8521,1467
6716,32,100,4749,1397
6716,1,0,5658,978
6716,1,10,8590,1466
6716,1,20,12431,1467
6716,1,30,17111,1397
6716,1,40,20394,1397
6716,1,50,22139,1397
6716,1,60,19555,1467
6716,1,70,16134,1467
6716,1,80,12362,1467
6716,1,90,10547,1397
6716,1,100,4260,1396
8663,32,0,5796,978
8663,32,10,26749,1886
8663,32,20,15714,1397
8663,32,30,20324,1466
8663,32,40,25562,1467
8663,32,50,28426,1466
8663,32,60,24793,1397
8663,32,70,20533,1397
8663,32,80,15295,1397
8663,32,90,10337,1397
8663,32,100,5308,1467
8663,1,0,5797,1397
8663,1,10,12642,1885
8663,1,20,15714,1397
8663,1,30,21093,1886
8663,1,40,25213,1396
8663,1,50,28076,1396
8663,1,60,25842,1396
8663,1,70,20603,1397
8663,1,80,15505,1466
8663,1,90,10476,1397
8663,1,100,5308,978
11174,32,0,6705,1467
11174,32,10,12712,1467
11174,32,20,23886,1467
11174,32,30,26190,1467
11174,32,40,41067,1955
11174,32,50,36178,908
11174,32,60,31359,1397
11174,32,70,25772,1397
11174,32,80,19136,1467
11174,32,90,11524,1397
11174,32,100,6635,1466
11174,1,0,6635,1396
11174,1,10,13409,1397
11174,1,20,19626,1397
11174,1,30,26261,1397
11174,1,40,32965,1397
11174,1,50,39879,1397
11174,1,60,31638,1397
11174,1,70,25283,1396
11174,1,80,18578,1467
11174,1,90,12851,1397
11174,1,100,6565,1397
14414,32,0,9848,1467
14414,32,10,22489,1886
14414,32,20,24794,1956
14414,32,30,41417,1886
14414,32,40,63416,1467
14414,32,50,44280,1956
14414,32,60,41416,1956
14414,32,70,32407,1397
14414,32,80,24165,1397
14414,32,90,16203,1397
14414,32,100,8451,1466
14414,1,0,8731,1397
14414,1,10,16482,1956
14414,1,20,23816,1466
14414,1,30,33803,1886
14414,1,40,41556,1397
14414,1,50,45676,978
14414,1,60,40718,1466
14414,1,70,32826,1886
14414,1,80,24375,1396
14414,1,90,15644,1467
14414,1,100,7753,1467
18593,32,0,12850,1467
18593,32,10,20534,1885
18593,32,20,38832,1956
18593,32,30,43790,1886
18593,32,40,53918,1397
18593,32,50,57620,1467
18593,32,60,52102,1397
18593,32,70,40927,1397
18593,32,80,30102,1397
18593,32,90,20394,1467
18593,32,100,9987,1467
18593,1,0,10546,1886
18593,1,10,20533,1885
18593,1,20,31428,1466
18593,1,30,42883,1956
18593,1,40,65791,1467
18593,1,50,58458,1397
18593,1,60,65441,1467
18593,1,70,40438,1466
18593,1,80,31498,1467
18593,1,90,20534,1397
18593,1,100,11245,1466
23984,32,0,13130,1956
23984,32,10,26121,1397
23984,32,20,39042,1816
23984,32,30,54267,1886
23984,32,40,75778,1466
23984,32,50,74241,1885
23984,32,60,70051,1956
23984,32,70,52311,1397
23984,32,80,38203,1886
23984,32,90,25771,1885
23984,32,100,12292,1397
23984,1,0,12781,1956
23984,1,10,25353,1886
23984,1,20,39950,1467
23984,1,30,53848,1955
23984,1,40,94706,1397
23984,1,50,74940,1886
23984,1,60,67746,1466
23984,1,70,52032,1886
23984,1,80,38134,1816
23984,1,90,25353,1397
23984,1,100,12641,1397
30938,32,0,16343,1396
30938,32,10,40508,1955
30938,32,20,50426,908
30938,32,30,70191,1885
30938,32,40,87302,1886
30938,32,50,96591,1956
30938,32,60,84927,1886
30938,32,70,66698,1886
30938,32,80,132839,2305
30938,32,90,32407,1886
30938,32,100,15644,1886
30938,1,0,16204,1886
30938,1,10,33384,1467
30938,1,20,50635,1886
30938,1,30,78851,1955
30938,1,40,96382,1886
30938,1,50,95613,1886
30938,1,60,85487,1955
30938,1,70,106160,1955
30938,1,80,49028,1885
30938,1,90,32965,1885
30938,1,100,15645,1886
39908,32,0,20464,1886
39908,32,10,51404,2375
39908,32,20,63766,1886
39908,32,30,88280,1816
39908,32,40,112934,1955
39908,32,50,123969,1886
39908,32,60,116076,1886
39908,32,70,87442,1885
39908,32,80,62438,1886
39908,32,90,41556,1885
39908,32,100,19835,1955
39908,1,0,20114,1955
39908,1,10,41416,1886
39908,1,20,64394,1885
